epoch,acc,parity,deo,dataset,alpha,seed,pretrain_epochs,p_edge,p_feat,lambda_cl_fair,time_sec
17,0.6984127163887024,0.0626598596572876,0.041666626930236816,nba,0,1,200,0.2,0.2,1.0,18.84254288673401
5,0.7142857313156128,0.09840422868728638,0.20833337306976318,nba,0,2,200,0.2,0.2,1.0,8.061842203140259
266,0.6666666865348816,0.15691488981246948,0.20833337306976318,nba,0,3,200,0.2,0.2,1.0,7.814711332321167
135,0.7301587462425232,0.11569148302078247,0.3333333730697632,nba,0,4,200,0.2,0.2,1.0,8.063366413116455
1,0.5079365372657776,0.0,0.0,nba,0,5,200,0.2,0.2,1.0,7.889164209365845
153,0.7936508655548096,0.11436167359352112,0.3333333730697632,nba,0,6,200,0.2,0.2,1.0,7.468411445617676
1,0.4920635223388672,0.02173912525177002,0.041666626930236816,nba,0,7,200,0.2,0.2,1.0,8.749353408813477
33,0.6984127163887024,0.06905370950698853,0.04166668653488159,nba,0,8,200,0.2,0.2,1.0,9.253966808319092
381,0.6666666865348816,0.15558508038520813,0.4583333730697632,nba,0,9,200,0.2,0.2,1.0,7.629540681838989
4,0.5555555820465088,0.028132975101470947,0.041666626930236816,nba,5,1,200,0.2,0.2,1.0,8.179881572723389
62,0.7619048357009888,0.2433510422706604,0.3333333730697632,nba,5,2,200,0.2,0.2,1.0,8.108703851699829
266,0.7301587462425232,0.15824466943740845,0.20833337306976318,nba,5,3,200,0.2,0.2,1.0,8.31568956375122
174,0.7301587462425232,0.11569148302078247,0.3333333730697632,nba,5,4,200,0.2,0.2,1.0,8.412970781326294
2,0.523809552192688,0.02173912525177002,0.0,nba,5,5,200,0.2,0.2,1.0,9.218381643295288
188,0.7777778506278992,0.17686167359352112,0.4583333730697632,nba,5,6,200,0.2,0.2,1.0,7.399688482284546
1,0.4761905074119568,0.04347825050354004,0.08333331346511841,nba,5,7,200,0.2,0.2,1.0,8.222253561019897
14,0.5555555820465088,0.008951425552368164,0.08333337306976318,nba,5,8,200,0.2,0.2,1.0,8.090150356292725
7,0.5714285969734192,0.1276596188545227,0.041666626930236816,nba,5,9,200,0.2,0.2,1.0,7.519984006881714
4,0.5079365372657776,0.0,0.0,nba,10,1,200,0.2,0.2,1.0,8.046752452850342
